Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
4005900713612;SAB NIVEA LEITE 85G C/6 L+P-;1;UN;11,9;11,90;
7891022100372;DET LQ LOUCA LIMPOL CRIS 500ML;2;UN;2,37;4,74;
7896474600494;ALCOOL LIQ ZEPPELIN 70 1L;1;UN;10,98;10,98;
7896104998557;P H MILI BIANCO SIMPL 4X60M;1;UN;5,99;5,99;
7896001045446;ESP ESFREBOM MULTIUSO L4P3;1;UN;5,9;5,90;
7891177181134;SAB FIORUCCI SUAV CER SACHE440ML;1;UN;9,49;9,49;
7894993000832;PRATO FD DURALEX 0008 ASTRAL;3;UN;7,9;23,70;
7891155002529;COPO NADIR AMERICANO 2710 300ML;3;UN;5,5;16,50;
7896025501058;PINCEL BARB M.BONI 1380 CERD NAT;1;UN;12,99;12,99;
7500435169370;SH PANTENE HIDR 350ML+COND 175ML;1;UN;26,5;26,50;
7896404607616;L ROUP PO GIRANDOSOL F.PAR 1,6KG;1;UN;12,98;12,98;
7891150067233;GEL D CLOSEUP R.HOT 90G C/3 L+P-;1;UN;9,1;9,10;
7891150081239;DES DOVE ORIGINAL 250ML L+P-;1;UN;20,95;20,95;
0070330734401;AP BIC COMFORT 3 PELE SENS L4P3;1;UN;15,99;15,99;
7500435138710;ESC D ORAL-B COLOR COLLECT C/5;1;UN;24,9;24,90;
7896474600555;ALCOOL GEL ZEPPELIN BACT 70 500G;1;UN;8,99;8,99;
7891024183021;FIO DENT COLGATE MENT 50M;1;UN;10,99;10,99;
7791293032368;DES REXONA S/PERFUME 150ML;1;UN;16,9;16,90;
7501007413921;SH PANTENE HIDRATACAO 400ML;1;UN;23,9;23,90;
7891350011623;CR BARBA BOZZANO P.SENSIVEL 65G;1;UN;8,5;8,50;
7896098902394;AMAC YPE DELICADO 2L;1;UN;9,6;9,60;
Valor total R$;291,49;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
