Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7891095007943;PIPOCA MIC YOKI NAT C/S 50G;2;UN;1,99;3,98;
7891095030200;PIPOCA MIC YOKI NAT C/S INT 90G;1;UN;3,59;3,59;
7891095002207;PIPOCA MIC YOKI NAT C/S 100G;2;UN;3,59;7,18;
7896333015148;MADELEINES MERCATTO 250G;1;UN;17,9;17,90;
7896333039489;GRANOLA TUTTIGIO CER/FTS 800G;1;UN;15,9;15,90;
7501001109653;AP PRESTOBARBA 3 L4P3;1;UN;16,9;16,90;
2045340000004;PAO BAGUETE CEREAL FER/LE ***ZAF;0,2499;KG;36,9;9,22;
7891193010173;PAO 7GRAOS S.BOYS BEN LIGHT 400G;1;UN;7,49;7,49;
2541020000000;PEITO PERU SADIA DEFUMADO AT;0,174;KG;53,9;9,38;
2527400000006;MORT DEFUMADA SADIA AT;0,1301;KG;30,9;4,02;
2089380000006;QJO MUSSARELA PRESIDENT AT;0,206;KG;49,9;10,28;
7896348840926;IOG PIA CREM COCO 800G;1;UN;9,59;9,59;
7896348840933;IOG PIA CREM MEL 800G;1;UN;9,59;9,59;
7898956316176;ALFACE CRESPA HIDROPONICA;1;UN;4,75;4,75;
7896540900824;AG SANITARIA GOTA LIMPA 2L;1;UN;4,99;4,99;
2009630000006;BANANA CATURRA GRANEL;0,8631;KG;5,48;4,73;
Valor total R$;139,49;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
