Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7898205924671;IOG N.WHEY D.LTE Z.LAC 21 250G;1;UN;9,89;9,89;
7891999000170;IOG VIGOR FL S/LAC 25PRO 250G;1;UN;10,3;10,30;
7891097000935;CR RICOTA PRESIDENT TRAD 200G;1;UN;6,25;6,25;
2091640000008;GOIABA POLP VM GRANEL;0,6804;KG;9,95;6,77;
2092940000002;PESSEGO IMPORTADO GRANEL;1,0283;KG;9,9;10,18;
8002720005107;BISC BONOMI FROLLINI FIORI 750G;1;UN;16,9;16,90;
8002720003028;BISC CHAMPAGNE BONOMI CHOC 200G;1;UN;5,9;5,90;
7891330009176;CONF BIBS FLOC CHOC LEITE 40G;1;UN;2,59;2,59;
7891098041432;CHA LEAO MATE/GROSELH NEGRA 10SH;1;UN;8,98;8,98;
7891098041494;CHA LEAO HIB/R.SILV&AMORA 10SH;1;UN;7,9;7,90;
7898108350010;ALFACE CRESPA HIDROPONICA;1;UN;4,98;4,98;
7896724504800;T.MANCHA T.CARINHO CL 2L;1;UN;13,5;13,50;
7891150070950;AMAC COMFORT EXPLOSAO AZUL 3L;1;UN;25,98;25,98;
7898235610117;COUVE FATIADA PRIMODORO     200G;1;UN;6,75;6,75;
7898994314516;AIPIM MUNHOZ RESFRIADO 1KG;1;UN;10,9;10,90;
7896385800440;AG MINERAL FLORESTA S/GAS 500ML;2;UN;1,15;2,30;
7896404605506;AG SANITARIA GIRANDOSOL 5L;1;UN;14,5;14,50;
Valor total R$;164,57;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
