Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7613033279461;CAFE D.GUSTO BUONGIORN C/16 CAPS;1;UN;28,7;28,70;
7891000302606;CAFE D.GUSTO CASEIRO C/16 CAPS;1;UN;28,7;28,70;
7801222006169;VH TIERRUCA G.RESERVA C/SAUV 750;1;UN;59,8;59,80;
7801222006176;VH TIERRUCA G.RESERVA CARM 750ML;1;UN;59,8;59,80;
7801222006183;VH TIERRUCA G.RESERVA CHARD 750M;1;UN;59,8;59,80;
7896035700045;CAFE MELITTA STACCAT 6 C/10 CAPS;1;UN;20,68;20,68;
7896035700021;CAFE MELITTA MARCATO 9 C/10 CAPS;1;UN;20,68;20,68;
7896035700038;CAFE MELITTA TENUTO 5 C/10 CAPS;1;UN;20,68;20,68;
7896089029475;CAFE DO PONTO EXPORTACAO 500G;1;UN;17,98;17,98;
7896333023075;PILHA AL AA MARCH C/2;1;UN;7,98;7,98;
Valor total R$;324,80;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
