Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
7896348841855;IOG PIA CREM NATURAL 800G;1;UN;10,39;10,39;
7896348840933;IOG PIA CREM MEL 800G;1;UN;10,39;10,39;
7896104891056;B CER RITTER BAN/M 25G L4P3;1;UN;4,19;4,19;
7896181706168;PE MOLEQUE DACOLONIA NATA 300G;1;UN;8,99;8,99;
5601213002543;VH ALABASTRO ALENTEJO      750ML;2;UN;49,98;99,96;
7730931130257;VH LA HACIENDA RES TANNAT  750ML;3;UN;46,5;139,50;
5604747911251;VH T.ESQUILO ASSEMB DOC 750ML;2;UN;39,8;79,60;
7730931130912;VH L.HACIEND C.SAUV RES 750ML;1;UN;46,5;46,50;
7896333039854;GORRO MARCH 1428F PT;1;UN;24,9;24,90;
Valor total R$;424,42;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
