Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
1342;BANANA PRATA kg;0,664;kg;6,98;4,63;
6675;PESSEGO NACIONAL kg;0,857;kg;5,98;5,12;
13345;QUEI QUERENCIA LANC FAT kg;0,158;kg;49,9;7,88;
29216;PAO TRIGO INTEG 350g;1;UN;7,89;7,89;
2184418;CR DENT ORAL B EXTRA BRANCO 70g;1;UN;2,99;2,99;
2234441;TONICA SCHWEPPES GINGER ALE LT 220ml;2;UN;2,05;4,10;
8701657;ISOT GATORADE LARANJA PET 500ml;1;UN;3,49;3,49;
8708632;ISOT GATORADE LIMAO PET 500ml;1;UN;3,49;3,49;
9367135;AGUA MIN FONTE DA LOMBA S/G 5L;1;UN;4,49;4,49;
9486362;AGUA MIN CRYSTAL S/G 1,5L;2;UN;2,29;4,58;
9491021;AGUA MIN CRYSTAL S/G 500ml;1;UN;1,79;1,79;
9859210;PRES LEBON FAT 180g;1;UN;7,9;7,90;
9905580;REFR COCA PLUS LT 220ml;1;UN;1,99;1,99;
9967953;BEB ENERG MONSTER ABSOLUT ZERO LT 473ml;1;UN;7,99;7,99;
9995543;BEB ENERG MONSTER MANGOLOCO LT 473ml;1;UN;7,99;7,99;
Valor total R$;76,32;
Estabelecimento;UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A;
