Código;Descrição;Qtde;Un;Vl Unit;Vl Total;
2169950000008;ACEM S/OSSO EF;0,9281;KG;26,98;25,04;
2830720000008;ALCATRA BOVINA RESF PEDACO;0,458;KG;55,9;25,60;
2099420000002;PESSEGO AMARELO GAUCHO GRANEL;0,6867;KG;6,99;4,80;
2006660000006;PESSEGO BRANCO GAUCHO GRANEL;1,2876;KG;6,99;9,00;
2095530000000;LARANJA NAVELINA GRANEL;0,5859;KG;9,95;5,83;
2009630000006;BANANA CATURRA GRANEL;1,1354;KG;4,95;5,62;
2305710000004;PEITO PERU SEARA DEF AT;0,1519;KG;54,9;8,34;
2527400000006;MORT DEFUMADA SADIA AT;0,126;KG;28,9;3,64;
7898193790012;ALFACE DE ESTUFA;1;UN;2,89;2,89;
0000020171872;BROCOLIS HIBRIDO 350G;1;UN;6,39;6,39;
7898908207088;QJO PARM G.MESTRI Z.L RAL 40G;1;UN;4,9;4,90;
7897974400737;QJO PARMESAO C.VACARIA RAL 50G;1;UN;5,6;5,60;
7896348840933;IOG PIA CREM MEL 800G;1;UN;8,99;8,99;
7896348845204;IOG PIA CREM ABACATE 800G;1;UN;8,99;8,99;
7898569621025;PAO SAND AMALFI INT S/LAC 450G;1;UN;5,79;5,79;
Valor total R$;131,42;
Estabelecimento;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA;
